ledger_id,dataset_id,layer,family,variant,execution_kind,run_count,training_seeds,inference_seeds,status,priority,replication_unit,config_path,config_status,parameters,executor_plan,work_dir_template,train_run_ids,result_family,evidence_artifact_ids,swanlab_project,swanlab_run_template,parent_ledger_id,paper_role,acceptance_gate,notes
D1I.SOTA.karyoflow,D1_INHOUSE1700_V1,Detector comparison,SOTA,karyoflow,full_train,3,"42,123,789",42,RUNNING,P0,independent_training_seed,experiments/configs/self1700/karyoflow.py,exists,RF; shifted t; AdaLN-Zero; DPM++ 4-step; K=500; 6 heads; batch=2,42=ross:A6000:0;123=workstation:A5000:0;789=workstation:A4000:1,work_dirs/self1700/karyoflow/trainseed_{training_seed},d1-inhouse1700-v1__karyoflow__trainseed-42__a752e7be1f0d;d1-inhouse1700-v1__karyoflow__trainseed-123__a752e7be1f0d;d1-inhouse1700-v1__karyoflow__trainseed-789__a752e7be1f0d,sota_d1i_test,,KaryoFlow-Self1700,{variant}_seed{training_seed},,Main two-cohort detector table,3 distinct checkpoint SHA; same manifest/config/protocol; six test metrics,"Live registry: seed42=running@ross:a6000:0, run_id=n8hxeoo6pcyy0ivbdejbb; seed123=running@workstation:a5000:0, run_id=kgkw6702; seed789=running@workstation:a4000:1, run_id=wf92rzup"
D1I.SOTA.diffusiondet,D1_INHOUSE1700_V1,Detector comparison,SOTA,diffusiondet,full_train,3,"42,123,789",42,PLANNED,P0,independent_training_seed,experiments/configs/self1700/diffusiondet.py,exists,DDPM; DDIM 1-step; linear t; scale-shift; K=500; 6 heads; batch=4 (external baseline),42=ross:A6000:0;123=workstation:A5000:0;789=workstation:A4000:1,work_dirs/self1700/diffusiondet/trainseed_{training_seed},d1-inhouse1700-v1__diffusiondet__trainseed-42__0362fd3e571b;d1-inhouse1700-v1__diffusiondet__trainseed-123__0362fd3e571b;d1-inhouse1700-v1__diffusiondet__trainseed-789__0362fd3e571b,sota_d1i_test,,KaryoFlow-Self1700,{variant}_seed{training_seed},,Main two-cohort detector table,3 distinct checkpoint SHA; same manifest/config/protocol; six test metrics,"Live registry: seed42=planned@workstation:a5000:0, run_id=pending; seed123=planned@workstation:a4000:1, run_id=pending; seed789=planned@ross:a6000:0, run_id=pending"
D1I.SOTA.dino_r50,D1_INHOUSE1700_V1,Detector comparison,SOTA,dino_r50,full_train,3,"42,123,789",42,PLANNED,P0,independent_training_seed,experiments/configs/self1700/dino_r50.py,exists,R50; 900 queries; 6 encoder/decoder layers; batch=2,42=ross:A6000:0;123=workstation:A5000:0;789=workstation:A4000:1,work_dirs/self1700/dino_r50/trainseed_{training_seed},d1-inhouse1700-v1__dino_r50__trainseed-42__02519716b443;d1-inhouse1700-v1__dino_r50__trainseed-123__02519716b443;d1-inhouse1700-v1__dino_r50__trainseed-789__02519716b443,sota_d1i_test,,KaryoFlow-Self1700,{variant}_seed{training_seed},,Main two-cohort detector table,3 distinct checkpoint SHA; same manifest/config/protocol; six test metrics,"Live registry: seed42=planned@workstation:a4000:1, run_id=pending; seed123=planned@ross:a6000:0, run_id=pending; seed789=planned@workstation:a5000:0, run_id=pending"
D1I.SOTA.rtmdet_l,D1_INHOUSE1700_V1,Detector comparison,SOTA,rtmdet_l,full_train,3,"42,123,789",42,PLANNED,P0,independent_training_seed,experiments/configs/self1700/rtmdet_l.py,exists,RTMDet-L; inherited benchmark optimizer; batch=2,42=ross:A6000:0;123=workstation:A5000:0;789=workstation:A4000:1,work_dirs/self1700/rtmdet_l/trainseed_{training_seed},d1-inhouse1700-v1__rtmdet_l__trainseed-42__c65dc5e0e455;d1-inhouse1700-v1__rtmdet_l__trainseed-123__c65dc5e0e455;d1-inhouse1700-v1__rtmdet_l__trainseed-789__c65dc5e0e455,sota_d1i_test,,KaryoFlow-Self1700,{variant}_seed{training_seed},,Main two-cohort detector table,3 distinct checkpoint SHA; same manifest/config/protocol; six test metrics,"Live registry: seed42=planned@ross:a6000:0, run_id=pending; seed123=planned@workstation:a5000:0, run_id=pending; seed789=planned@workstation:a4000:1, run_id=pending"
D1I.SOTA.cascade_rcnn_r50,D1_INHOUSE1700_V1,Detector comparison,SOTA,cascade_rcnn_r50,full_train,3,"42,123,789",42,PLANNED,P0,independent_training_seed,experiments/configs/self1700/cascade_rcnn_r50.py,exists,Cascade R-CNN R50; 3 stages; batch=4,42=ross:A6000:0;123=workstation:A5000:0;789=workstation:A4000:1,work_dirs/self1700/cascade_rcnn_r50/trainseed_{training_seed},d1-inhouse1700-v1__cascade_rcnn_r50__trainseed-42__ff33c17c2649;d1-inhouse1700-v1__cascade_rcnn_r50__trainseed-123__ff33c17c2649;d1-inhouse1700-v1__cascade_rcnn_r50__trainseed-789__ff33c17c2649,sota_d1i_test,,KaryoFlow-Self1700,{variant}_seed{training_seed},,Main two-cohort detector table,3 distinct checkpoint SHA; same manifest/config/protocol; six test metrics,"Live registry: seed42=planned@workstation:a5000:0, run_id=pending; seed123=planned@workstation:a4000:1, run_id=pending; seed789=planned@ross:a6000:0, run_id=pending"
D1I.SOTA.yolox_s,D1_INHOUSE1700_V1,Detector comparison,SOTA,yolox_s,full_train,3,"42,123,789",42,PLANNED,P0,independent_training_seed,experiments/configs/self1700/yolox_s.py,exists,YOLOX-S; 300 epochs; batch=8,42=ross:A6000:0;123=workstation:A5000:0;789=workstation:A4000:1,work_dirs/self1700/yolox_s/trainseed_{training_seed},d1-inhouse1700-v1__yolox_s__trainseed-42__df342a7930d9;d1-inhouse1700-v1__yolox_s__trainseed-123__df342a7930d9;d1-inhouse1700-v1__yolox_s__trainseed-789__df342a7930d9,sota_d1i_test,,KaryoFlow-Self1700,{variant}_seed{training_seed},,Main two-cohort detector table,3 distinct checkpoint SHA; same manifest/config/protocol; six test metrics,"Live registry: seed42=planned@workstation:a4000:1, run_id=pending; seed123=planned@ross:a6000:0, run_id=pending; seed789=planned@workstation:a5000:0, run_id=pending"
D1I.SOTA.karyoflow_lqcr,D1_INHOUSE1700_V1,Decision,SOTA,karyoflow_lqcr,short_train,3,"42,123,789",42,BLOCKED_PARENT,P0,paired_final_stage_intervention,experiments/configs/self1700/lqcr.py,exists,parent-matched final-only quality head; beta=2 selected on validation; 12 epochs,42=ross:A6000:0;123=workstation:A5000:0;789=workstation:A4000:1,work_dirs/self1700/karyoflow_lqcr/trainseed_{training_seed},d1-inhouse1700-v1__karyoflow_lqcr__trainseed-42__7266ebe11ac0;d1-inhouse1700-v1__karyoflow_lqcr__trainseed-123__7266ebe11ac0;d1-inhouse1700-v1__karyoflow_lqcr__trainseed-789__7266ebe11ac0,paired_lqcr_d1i_train3,,KaryoFlow-Self1700,{variant}_seed{training_seed},D1I.SOTA.karyoflow,Independent decision contribution,parent checkpoint identity; 590 shared tensors unchanged; paired test delta,"Live registry: seed42=planned@ross:a6000:0, run_id=pending; seed123=planned@workstation:a5000:0, run_id=pending; seed789=planned@workstation:a4000:1, run_id=pending"
D1I.ABL.G0,D1_INHOUSE1700_V1,Generation,Training ablation,DDPM_linear_scaleshift,full_train,3,"42,123,789",42,PLANNED,P0,independent_training_seed,experiments/configs/self1700/ablations/g0_ddpm_batch2.py,to_create,DDPM; DDIM1; linear t; scale-shift; batch=2,42=ross:A6000:0;123=workstation:A5000:0;789=workstation:A4000:1,work_dirs/self1700/ablations/g0/trainseed_{training_seed},,generation_train_ablation_d1i_test,,KaryoFlow-Self1700,{variant}_seed{training_seed},,Strict incremental generation ablation,only named factor changes; batch/optimizer/augmentation/selection fixed,
D1I.ABL.G1,D1_INHOUSE1700_V1,Generation,Training ablation,RF_linear_scaleshift,full_train,3,"42,123,789",42,PLANNED,P0,independent_training_seed,experiments/configs/self1700/ablations/g1_rf_linear_scaleshift.py,to_create,RF; Euler/locked validation protocol; linear t; scale-shift; batch=2,42=ross:A6000:0;123=workstation:A5000:0;789=workstation:A4000:1,work_dirs/self1700/ablations/g1/trainseed_{training_seed},,generation_train_ablation_d1i_test,,KaryoFlow-Self1700,{variant}_seed{training_seed},D1I.ABL.G0,Strict incremental generation ablation,only named factor changes; batch/optimizer/augmentation/selection fixed,
D1I.ABL.G2,D1_INHOUSE1700_V1,Generation,Training ablation,RF_shifted_scaleshift,full_train,3,"42,123,789",42,PLANNED,P0,independent_training_seed,experiments/configs/self1700/ablations/g2_rf_shifted_scaleshift.py,to_create,RF; shifted t (shift=3); scale-shift; batch=2,42=ross:A6000:0;123=workstation:A5000:0;789=workstation:A4000:1,work_dirs/self1700/ablations/g2/trainseed_{training_seed},,generation_train_ablation_d1i_test,,KaryoFlow-Self1700,{variant}_seed{training_seed},D1I.ABL.G1,Strict incremental generation ablation,only named factor changes; batch/optimizer/augmentation/selection fixed,
